trade_id,portfolio,counterparty,typology,asset_class,currency,notional,trade_date,maturity_date,market_value,past_cash,future_cash,settled_cash,pnl,dv01_par,dv01_zero,fx_delta,eq_delta,vega,theta,gamma
MX0000001,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000002,EXOTIC_EQ,NOMURA,EQ_Barrier_Option,EQ,EUR,25000000,2024-07-01,2026-01-01,1000000,0,3000,0,1003000,0,0,0,6250000,37500,-12500,750
MX0000003,FLOW_FX_G10,HSBC,FX_Forward,FX,USD,40000000,2024-04-20,2025-10-20,400000,200,4000,150,404200,0,0,6000000,0,0,0,0
MX0000004,FLOW_FX_G10,HSBC,FX_Forward,FX,USD,64000000,2024-04-20,2025-10-20,640000,200,4000,150,644200,0,0,9600000,0,0,0,0
MX0000005,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000006,FLOW_EQ_G10,GOLDMAN_SACHS,EQ_Option,EQ,USD,45000000,2024-06-01,2026-06-01,900000,500,2000,300,902500,0,0,0,9000000,54000,-18000,900
MX0000007,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000008,FLOW_IR_GBP,BARCLAYS,IRS,IR,GBP,30000000,2024-01-10,2028-01-10,450000,800,1500,600,450800,1200,1212,0,0,0,0,0
MX0000009,FLOW_IR_EUR,BNP_PARIBAS,IRS,IR,EUR,30000000,2024-01-01,2028-01-01,450000,500,2000,400,452500,1200,1230,0,0,0,0,0
MX0000010,FLOW_IR_USD,BOFA,IRS,IR,USD,120000000,2024-05-10,2032-05-10,2400000,900,2500,700,2403400,7200,7488,0,0,0,0,0
MX0000011,EXOTIC_EQ,NOMURA,EQ_Barrier_Option,EQ,EUR,30000000,2024-07-01,2026-01-01,1200000,0,3000,0,1203000,0,0,0,7500000,45000,-15000,900
MX0000012,FLOW_FX_EM,CITIBANK,FX_Swap,FX,JPY,46000000,2024-08-05,2025-08-05,920000,500,368000,138000,1288500,0,0,3680000,0,0,0,0
MX0000013,FLOW_IR_EUR,JPMORGAN,IRS,IR,EUR,80000000,2024-03-15,2029-03-15,2400000,1200,3400,1000,2401200,4000,4080,0,0,0,0,0
